The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Returns,Month,1+  Daily Return,1+Vwretd,1+SPrtrn
Inspire Medical Systems Inc,5/3/2018,17799,10/24/2018,-0.092526,-0.030628,-0.030864,,,0.907474,0.969372,0.969136
Inspire Medical Systems Inc,5/3/2018,17799,10/25/2018,0.06303,0.017448,0.018625,,,1.06303,1.017448,1.018625
Inspire Medical Systems Inc,5/3/2018,17799,10/26/2018,-0.003488,-0.015512,-0.017327,,,0.996512,0.984488,0.982673
Inspire Medical Systems Inc,5/3/2018,17799,10/29/2018,-0.06625,-0.006987,-0.00656,,,0.93375,0.993013,0.99344
Inspire Medical Systems Inc,5/3/2018,17799,10/30/2018,0.046854,0.015604,0.015667,,,1.046854,1.015604,1.015667
Inspire Medical Systems Inc,5/3/2018,17799,10/31/2018,0.025064,0.010455,0.010851,-0.020288988,6,1.025064,1.010455,1.010851
Inspire Medical Systems Inc,5/3/2018,17799,11/1/2018,0.10005,0.013011,0.010558,,,1.10005,1.013011,1.010558
Inspire Medical Systems Inc,5/3/2018,17799,11/2/2018,0.034929,-0.004779,-0.006317,,,1.034929,0.995221,0.993683
Inspire Medical Systems Inc,5/3/2018,17799,11/5/2018,-0.001096,0.004439,0.0056,,,0.998904,1.004439,1.0056
Inspire Medical Systems Inc,5/3/2018,17799,11/6/2018,0.012067,0.005704,0.006259,,,1.012067,1.005704,1.006259
Inspire Medical Systems Inc,5/3/2018,17799,11/7/2018,0.139822,0.019256,0.021209,,,1.139822,1.019256,1.021209
Inspire Medical Systems Inc,5/3/2018,17799,11/8/2018,-0.004374,-0.002936,-0.002509,,,0.995626,0.997064,0.997491
Inspire Medical Systems Inc,5/3/2018,17799,11/9/2018,-0.113849,-0.009721,-0.009199,,,0.886151,0.990279,0.990801
Inspire Medical Systems Inc,5/3/2018,17799,11/12/2018,-0.025437,-0.018878,-0.019701,,,0.974563,0.981122,0.980299
Inspire Medical Systems Inc,5/3/2018,17799,11/13/2018,0.021898,-0.001188,-0.001482,,,1.021898,0.998812,0.998518
Inspire Medical Systems Inc,5/3/2018,17799,11/14/2018,0.038961,-0.006557,-0.007567,,,1.038961,0.993443,0.992433
Inspire Medical Systems Inc,5/3/2018,17799,11/15/2018,-0.020417,0.010788,0.010594,,,0.979583,1.010788,1.010594
Inspire Medical Systems Inc,5/3/2018,17799,11/16/2018,-0.036367,0.002082,0.002223,,,0.963633,1.002082,1.002223
Inspire Medical Systems Inc,5/3/2018,17799,11/19/2018,-0.106158,-0.016575,-0.016643,,,0.893842,0.983425,0.983357
Inspire Medical Systems Inc,5/3/2018,17799,11/20/2018,0.007161,-0.017946,-0.018151,,,1.007161,0.982054,0.981849
Inspire Medical Systems Inc,5/3/2018,17799,11/21/2018,0.057367,0.00622,0.003043,,,1.057367,1.00622,1.003043
Inspire Medical Systems Inc,5/3/2018,17799,11/23/2018,0.011825,-0.00556,-0.006555,,,1.011825,0.99444,0.993445
Inspire Medical Systems Inc,5/3/2018,17799,11/26/2018,0.028643,0.014598,0.015532,,,1.028643,1.014598,1.015532
Inspire Medical Systems Inc,5/3/2018,17799,11/27/2018,-0.00802,0.000513,0.003262,,,0.99198,1.000513,1.003262
Inspire Medical Systems Inc,5/3/2018,17799,11/28/2018,0.028296,0.022306,0.022974,,,1.028296,1.022306,1.022974
Inspire Medical Systems Inc,5/3/2018,17799,11/29/2018,-0.033632,-0.001759,-0.002198,,,0.966368,0.998241,0.997802
Inspire Medical Systems Inc,5/3/2018,17799,11/30/2018,0.038192,0.006818,0.008186,0.041959788,7,1.038192,1.006818,1.008186
Inspire Medical Systems Inc,5/3/2018,17799,12/3/2018,0.042447,0.011443,0.010941,,,1.042447,1.011443,1.010941
Inspire Medical Systems Inc,5/3/2018,17799,12/4/2018,-0.087075,-0.031761,-0.032365,,,0.912925,0.968239,0.967635
Inspire Medical Systems Inc,5/3/2018,17799,12/6/2018,-0.060613,-0.001887,-0.001522,,,0.939387,0.998113,0.998478
Inspire Medical Systems Inc,5/3/2018,17799,12/7/2018,-0.097395,-0.021063,-0.02332,,,0.902605,0.978937,0.97668
Inspire Medical Systems Inc,5/3/2018,17799,12/10/2018,0.058268,-0.000255,0.001762,,,1.058268,0.999745,1.001762
Inspire Medical Systems Inc,5/3/2018,17799,12/11/2018,0.006373,-0.000717,-0.000356,,,1.006373,0.999283,0.999644
Inspire Medical Systems Inc,5/3/2018,17799,12/12/2018,0.009625,0.006327,0.005419,,,1.009625,1.006327,1.005419
Inspire Medical Systems Inc,5/3/2018,17799,12/13/2018,0.042649,-0.002157,-0.0002,,,1.042649,0.997843,0.9998
Inspire Medical Systems Inc,5/3/2018,17799,12/14/2018,-0.004812,-0.0171,-0.019087,,,0.995188,0.9829,0.980913
Inspire Medical Systems Inc,5/3/2018,17799,12/17/2018,0.058752,-0.020886,-0.020773,,,1.058752,0.979114,0.979227
Inspire Medical Systems Inc,5/3/2018,17799,12/18/2018,-0.037451,-0.000164,0.000086,,,0.962549,0.999836,1.000086
Inspire Medical Systems Inc,5/3/2018,17799,12/19/2018,-0.022539,-0.014833,-0.015396,,,0.977461,0.985167,0.984604
Inspire Medical Systems Inc,5/3/2018,17799,12/20/2018,-0.042476,-0.015372,-0.015772,,,0.957524,0.984628,0.984228
Inspire Medical Systems Inc,5/3/2018,17799,12/21/2018,-0.04943,-0.020591,-0.020588,,,0.95057,0.979409,0.979412
Inspire Medical Systems Inc,5/3/2018,17799,12/24/2018,0.049333,-0.024166,-0.027112,,,1.049333,0.975834,0.972888
Inspire Medical Systems Inc,5/3/2018,17799,12/26/2018,0.038119,0.04686,0.049594,,,1.038119,1.04686,1.049594
Inspire Medical Systems Inc,5/3/2018,17799,12/27/2018,0.028886,0.006822,0.008563,,,1.028886,1.006822,1.008563
Inspire Medical Systems Inc,5/3/2018,17799,12/28/2018,-0.001903,0.000154,-0.001242,,,0.998097,1.000154,0.998758
Inspire Medical Systems Inc,5/3/2018,17799,12/31/2018,0.007151,0.008318,0.008492,,,1.007151,1.008318,1.008492
Inspire Medical Systems Inc,5/3/2018,17799,1/2/2019,-0.024615,0.001796,0.001269,,,0.975385,1.001796,1.001269
Inspire Medical Systems Inc,5/3/2018,17799,1/3/2019,-0.04198,-0.021043,-0.024757,-0.175612504,8,0.95802,0.978957,0.975243
Inspire Medical Systems Inc,5/3/2018,17799,1/4/2019,0.046099,0.03341,0.034336,,,1.046099,1.03341,1.034336
Inspire Medical Systems Inc,5/3/2018,17799,1/7/2019,0.103632,0.009202,0.00701,,,1.103632,1.009202,1.00701
Inspire Medical Systems Inc,5/3/2018,17799,1/8/2019,0.015577,0.010269,0.009695,,,1.015577,1.010269,1.009695
Inspire Medical Systems Inc,5/3/2018,17799,1/9/2019,-0.007993,0.006199,0.004098,,,0.992007,1.006199,1.004098
Inspire Medical Systems Inc,5/3/2018,17799,1/10/2019,0.014373,0.004474,0.004518,,,1.014373,1.004474,1.004518
Inspire Medical Systems Inc,5/3/2018,17799,1/11/2019,0.025118,-0.000152,-0.000146,,,1.025118,0.999848,0.999854
Inspire Medical Systems Inc,5/3/2018,17799,1/14/2019,0.009215,-0.005465,-0.005258,,,1.009215,0.994535,0.994742
